consumer_id,consumer_name,consumer_type,connection_type,tariff_category,district,area,address,latitude,longitude,sanctioned_load_kw,meter_number,installation_date,base_consumption,is_anomalous
MN-IMP-000029,Elangbam Moyon,residential,single_phase,BPL Category,Imphal East,Mantripukhri,"Mantripukhri, Imphal East, Manipur",24.801769,93.952763,4.78,MNP921414,2020-11-20,9.57,True
MN-CHA-000030,Oinam Kom,residential,three_phase,BPL Category,Chandel,Machi,"Machi, Chandel, Manipur",24.427511,94.266164,3.62,MNP871476,2020-12-18,7.25,True
MN-UKH-000031,Bijoy Kabui,residential,single_phase,BPL Category,Ukhrul,Ukhrul Town,"Ukhrul Town, Ukhrul, Manipur",25.023919,94.442649,4.92,MNP265080,2023-09-08,9.85,True
MN-IMP-000032,Loktak Power Station,industrial,three_phase,Small Scale Industry,Imphal West,Keishampat,"Keishampat, Imphal West, Manipur",24.789289,93.933968,119.01,MNP171262,2020-03-21,238.01,True
MN-SEN-000033,Kauna Craft,commercial,single_phase,Shops & Establishments,Senapati,Kangpokpi,"Kangpokpi, Senapati, Manipur",25.304547,94.035508,8.33,MNP141672,2020-07-13,16.65,True
MN-UKH-000034,Hemanta Anal,residential,single_phase,Domestic LT-II,Ukhrul,Lunghar,"Lunghar, Ukhrul, Manipur",25.021578,94.306286,4.36,MNP237235,2020-03-28,8.73,True
MN-CHA-000035,Thoiba Thangal,residential,single_phase,BPL Category,Chandel,Khudengthabi,"Khudengthabi, Chandel, Manipur",24.362871,94.152571,5.58,MNP204837,2023-08-05,11.17,True
MN-CHU-000036,Chanu Chothe,residential,single_phase,Domestic LT-I,Churachandpur,Rengkai,"Rengkai, Churachandpur, Manipur",24.337394,93.711557,4.9,MNP559469,2020-12-16,9.8,True
MN-IMP-000037,Tombi Zou,residential,single_phase,Domestic LT-I,Imphal East,Nagamapal,"Nagamapal, Imphal East, Manipur",24.796016,93.935389,2.8,MNP878480,2020-11-25,5.61,True
MN-CHU-000038,Khogen Angami,residential,single_phase,BPL Category,Churachandpur,Mualkoi,"Mualkoi, Churachandpur, Manipur",24.324183,93.789455,5.14,MNP994343,2022-07-11,10.27,True
MN-CHU-000039,Ebomcha Zeliang,residential,single_phase,Domestic LT-I,Churachandpur,Churachandpur Town,"Churachandpur Town, Churachandpur, Manipur",24.395011,93.780719,5.12,MNP103717,2022-02-18,10.23,True
MN-CHU-000040,St. Joseph School,commercial,three_phase,Commercial HT,Churachandpur,Rengkai,"Rengkai, Churachandpur, Manipur",24.327986,93.783884,25.03,MNP688153,2023-12-14,50.06,True
MN-THO-000041,Heisnam Khoibu,residential,single_phase,Domestic LT-I,Thoubal,Mayang Imphal,"Mayang Imphal, Thoubal, Manipur",24.680744,94.084414,2.93,MNP143860,2022-04-11,5.86,True
MN-IMP-000042,Ibotombi Chothe,residential,single_phase,Domestic LT-II,Imphal East,Langol,"Langol, Imphal East, Manipur",24.787704,93.945955,3.42,MNP918011,2020-11-12,6.84,True
MN-SEN-000043,Hotel Classic Grande,commercial,three_phase,Commercial LT,Senapati,Karong,"Karong, Senapati, Manipur",25.363603,94.122146,7.73,MNP270395,2023-01-05,15.45,True
MN-IMP-000044,Apollo Pharmacy Imphal,commercial,three_phase,Commercial HT,Imphal East,Heingang,"Heingang, Imphal East, Manipur",24.815752,93.959219,14.72,MNP941204,2020-04-01,29.44,True
MN-BIS-000045,Imphal Hotel,commercial,three_phase,Commercial LT,Bishnupur,Ningthoukhong,"Ningthoukhong, Bishnupur, Manipur",24.561987,93.800642,38.14,MNP501124,2023-10-15,76.29,True
MN-BIS-000046,Nirmalabas High School,commercial,single_phase,Commercial LT,Bishnupur,Kumbi,"Kumbi, Bishnupur, Manipur",24.58232,93.827819,30.35,MNP333752,2023-11-15,60.7,True
MN-SEN-000047,Chanu Lamkang,residential,single_phase,BPL Category,Senapati,Mao,"Mao, Senapati, Manipur",25.272726,94.144356,5.83,MNP519093,2020-03-12,11.66,True
MN-UKH-000048,Loktak Power Station,industrial,three_phase,Industrial HT,Ukhrul,Ukhrul Town,"Ukhrul Town, Ukhrul, Manipur",25.050356,94.39945,88.14,MNP287241,2020-09-30,176.28,True
MN-CHU-000049,Loktak Power Station,industrial,three_phase,Small Scale Industry,Churachandpur,Churachandpur Town,"Churachandpur Town, Churachandpur, Manipur",24.342726,93.655533,137.53,MNP555673,2022-01-25,275.06,True
MN-UKH-000050,Irengbam Hmar,residential,single_phase,BPL Category,Ukhrul,Litan,"Litan, Ukhrul, Manipur",25.100536,94.310296,2.75,MNP557239,2023-12-30,5.51,True
MN-BIS-000051,Chanu Angami,residential,single_phase,BPL Category,Bishnupur,Kwasiphai,"Kwasiphai, Bishnupur, Manipur",24.640827,93.785934,2.15,MNP989208,2023-04-22,4.3,False
MN-CHU-000052,Bidyarani Anal,residential,single_phase,Domestic LT-II,Churachandpur,Sangaikot,"Sangaikot, Churachandpur, Manipur",24.373418,93.797848,2.59,MNP681343,2023-04-17,5.18,False
MN-SEN-000053,Ahongsangbam Khoibu,residential,single_phase,Domestic LT-II,Senapati,Saikul,"Saikul, Senapati, Manipur",25.334427,94.102324,2.57,MNP400850,2022-10-29,5.14,False
MN-UKH-000054,Dinamani Kom,residential,single_phase,BPL Category,Ukhrul,Shangshak,"Shangshak, Ukhrul, Manipur",25.145643,94.373557,4.35,MNP277934,2020-04-23,8.69,False
MN-UKH-000055,Ibotombi Monsang,residential,single_phase,Domestic LT-I,Ukhrul,Phungyar,"Phungyar, Ukhrul, Manipur",25.126706,94.407155,1.91,MNP254511,2023-11-13,3.81,False
MN-CHA-000056,Ngangom Tangkhul,residential,three_phase,BPL Category,Chandel,Khengjoy,"Khengjoy, Chandel, Manipur",24.46706,94.096234,2.34,MNP303880,2019-12-23,4.68,False
MN-CHA-000057,Laishram Singh,residential,three_phase,Domestic LT-I,Chandel,Liwa Sarei,"Liwa Sarei, Chandel, Manipur",24.308155,94.177268,4.55,MNP916232,2021-08-15,9.1,False
MN-CHA-000058,Yumnam Thangal,residential,single_phase,Domestic LT-II,Chandel,Chandel Town,"Chandel Town, Chandel, Manipur",24.303318,94.153628,2.52,MNP800005,2021-01-10,5.04,False
MN-UKH-000059,Handloom Cluster Moirang,industrial,three_phase,Small Scale Industry,Ukhrul,Shangshak,"Shangshak, Ukhrul, Manipur",25.129035,94.334873,150.55,MNP629298,2021-08-12,301.1,False
MN-CHA-000060,SBI Imphal Branch,commercial,single_phase,Commercial LT,Chandel,Machi,"Machi, Chandel, Manipur",24.377347,94.281019,11.97,MNP980660,2020-06-06,23.94,False
MN-CHA-000061,Dinamani Meetei,residential,single_phase,Domestic LT-I,Chandel,Moreh,"Moreh, Chandel, Manipur",24.368213,94.034042,5.66,MNP384913,2022-02-14,11.32,False
MN-IMP-000062,Khumanthem Poumai,residential,single_phase,BPL Category,Imphal West,Keishampat,"Keishampat, Imphal West, Manipur",24.811414,93.898056,4.47,MNP324345,2023-08-24,8.94,False
MN-UKH-000063,Bidyarani Meitei,residential,single_phase,Domestic LT-II,Ukhrul,Pushing,"Pushing, Ukhrul, Manipur",25.163444,94.41104,3.88,MNP508396,2019-09-09,7.77,False
MN-IMP-000064,Geetarani Singh,residential,three_phase,Domestic LT-II,Imphal East,Thangmeiband,"Thangmeiband, Imphal East, Manipur",24.79693,93.936517,5.54,MNP890075,2021-10-26,11.07,False
MN-SEN-000065,Moirang Pheijom,commercial,three_phase,Commercial LT,Senapati,Willong,"Willong, Senapati, Manipur",25.380084,94.07662,18.52,MNP611945,2022-10-10,37.04,False
MN-CHA-000066,Umakanta Rongmei,residential,single_phase,Domestic LT-II,Chandel,Chandel Town,"Chandel Town, Chandel, Manipur",24.369842,94.217787,5.54,MNP233827,2020-07-07,11.07,False
MN-SEN-000067,Rajkumar Zeliang,residential,single_phase,Domestic LT-II,Senapati,Karong,"Karong, Senapati, Manipur",25.377417,94.105975,4.39,MNP290556,2023-09-22,8.78,False
MN-UKH-000068,Takhellambam Angami,residential,single_phase,Domestic LT-II,Ukhrul,Kasom,"Kasom, Ukhrul, Manipur",25.016828,94.332326,5.54,MNP391773,2019-10-15,11.09,False
MN-SEN-000069,Loktak Power Station,industrial,three_phase,Industrial HT,Senapati,Purul,"Purul, Senapati, Manipur",25.321286,93.951839,56.24,MNP120324,2019-10-21,112.47,False
MN-UKH-000070,Oken Chanu,residential,single_phase,Domestic LT-I,Ukhrul,Kasom,"Kasom, Ukhrul, Manipur",25.1327,94.301012,2.22,MNP309044,2023-11-22,4.45,False
MN-BIS-000071,Ibemhal Kom,residential,single_phase,Domestic LT-II,Bishnupur,Moirang,"Moirang, Bishnupur, Manipur",24.604873,93.853784,4.43,MNP904150,2021-12-08,8.87,False
MN-IMP-000072,Tombi Devi,residential,three_phase,BPL Category,Imphal West,Keishampat,"Keishampat, Imphal West, Manipur",24.765699,93.929853,2.57,MNP810250,2021-11-25,5.14,False
MN-BIS-000073,Thangjam Monsang,residential,three_phase,BPL Category,Bishnupur,Nambol,"Nambol, Bishnupur, Manipur",24.58254,93.861974,4.42,MNP944657,2023-04-30,8.85,False
MN-IMP-000074,Moirang Pheijom,commercial,single_phase,Commercial HT,Imphal East,Langol,"Langol, Imphal East, Manipur",24.839446,93.976033,25.97,MNP172306,2021-03-02,51.94,False
MN-IMP-000075,Tombi Zeliang,residential,three_phase,BPL Category,Imphal East,Mantripukhri,"Mantripukhri, Imphal East, Manipur",24.786557,93.95574,2.69,MNP968962,2021-06-05,5.39,False
MN-SEN-000076,Premila Tarao,residential,single_phase,Domestic LT-II,Senapati,Saikul,"Saikul, Senapati, Manipur",25.248798,94.144602,3.27,MNP556732,2019-11-27,6.54,False
MN-UKH-000077,Naorem Liangmai,residential,single_phase,Domestic LT-II,Ukhrul,Kasom,"Kasom, Ukhrul, Manipur",25.178409,94.426228,5.08,MNP697530,2020-08-01,10.15,False
MN-UKH-000078,Takhellambam Thadou,residential,single_phase,Domestic LT-II,Ukhrul,Ukhrul Town,"Ukhrul Town, Ukhrul, Manipur",25.100527,94.415381,3.72,MNP936587,2022-07-22,7.43,False
MN-CHU-000079,Usham Hmar,residential,single_phase,BPL Category,Churachandpur,Sangaikot,"Sangaikot, Churachandpur, Manipur",24.329286,93.758368,2.76,MNP526170,2021-04-07,5.53,False
MN-BIS-000080,Dinamani Devi,residential,single_phase,Domestic LT-I,Bishnupur,Toubul,"Toubul, Bishnupur, Manipur",24.552432,93.846821,2.3,MNP524045,2020-02-16,4.59,False
MN-UKH-000081,Chandrakala Khoibu,residential,single_phase,BPL Category,Ukhrul,Shangshak,"Shangshak, Ukhrul, Manipur",25.188092,94.490786,5.62,MNP575786,2022-06-27,11.23,False
MN-BIS-000082,Salam Gangte,residential,single_phase,BPL Category,Bishnupur,Nambol,"Nambol, Bishnupur, Manipur",24.587016,93.752318,5.68,MNP294143,2022-12-06,11.35,False
MN-CHA-000083,Tombi Hmar,residential,single_phase,Domestic LT-II,Chandel,Chakpikarong,"Chakpikarong, Chandel, Manipur",24.385637,94.289996,5.84,MNP288158,2022-04-23,11.67,False
MN-THO-000084,Biren Khoibu,residential,single_phase,Domestic LT-I,Thoubal,Yairipok,"Yairipok, Thoubal, Manipur",24.685301,93.994167,3.23,MNP768854,2019-10-14,6.47,False
MN-IMP-000085,Geetarani Kabui,residential,single_phase,Domestic LT-I,Imphal East,Thangmeiband,"Thangmeiband, Imphal East, Manipur",24.83958,93.952185,2.26,MNP153872,2022-08-03,4.53,False
MN-CHA-000086,Loktak Power Station,industrial,three_phase,Industrial HT,Chandel,Tengnoupal,"Tengnoupal, Chandel, Manipur",24.41136,94.280846,151.36,MNP615633,2023-08-04,302.73,False
MN-IMP-000087,Ahongshangbam Monsang,residential,single_phase,Domestic LT-I,Imphal East,Heingang,"Heingang, Imphal East, Manipur",24.819904,93.936802,4.27,MNP224205,2020-11-16,8.54,False
MN-BIS-000088,Manipur University,commercial,single_phase,Commercial HT,Bishnupur,Thanga,"Thanga, Bishnupur, Manipur",24.649005,93.771013,24.35,MNP411797,2020-09-14,48.69,False
MN-CHU-000089,Handloom Cluster Moirang,industrial,three_phase,Industrial LT,Churachandpur,Mualkoi,"Mualkoi, Churachandpur, Manipur",24.431606,93.761115,151.52,MNP739244,2019-11-09,303.05,False
MN-BIS-000090,Devi Paite,residential,single_phase,BPL Category,Bishnupur,Kumbi,"Kumbi, Bishnupur, Manipur",24.620248,93.803924,2.82,MNP178711,2023-02-16,5.64,False
MN-CHA-000091,Radhamani Chanu,residential,single_phase,BPL Category,Chandel,Khengjoy,"Khengjoy, Chandel, Manipur",24.461872,94.243034,5.4,MNP396451,2020-01-24,10.8,False
MN-IMP-000092,RIMS Hospital,commercial,three_phase,Shops & Establishments,Imphal West,Uripok,"Uripok, Imphal West, Manipur",24.813927,93.915794,23.8,MNP718439,2020-04-18,47.6,False
MN-BIS-000093,Singjamei Market,commercial,three_phase,Shops & Establishments,Bishnupur,Laphupat Tera,"Laphupat Tera, Bishnupur, Manipur",24.62983,93.847495,30.31,MNP256226,2022-07-07,60.63,False
MN-IMP-000094,Imphal Hotel,commercial,three_phase,Shops & Establishments,Imphal West,Lamphel,"Lamphel, Imphal West, Manipur",24.805705,93.9423,18.48,MNP885339,2020-10-24,36.97,False
MN-CHA-000095,Nirmalabas High School,commercial,three_phase,Shops & Establishments,Chandel,Tengnoupal,"Tengnoupal, Chandel, Manipur",24.375117,94.028195,26.29,MNP522060,2022-06-24,52.59,False
MN-CHA-000096,Chinglen Chanu,residential,three_phase,BPL Category,Chandel,New Samtal,"New Samtal, Chandel, Manipur",24.307188,94.139679,3.94,MNP437978,2020-08-14,7.88,False
MN-IMP-000097,Nabachandra Lamkang,residential,single_phase,Domestic LT-I,Imphal West,Uripok,"Uripok, Imphal West, Manipur",24.770058,93.921358,1.64,MNP593355,2021-02-04,3.27,False
MN-CHU-000098,Hemabati Haokip,residential,single_phase,Domestic LT-II,Churachandpur,Rengkai,"Rengkai, Churachandpur, Manipur",24.305602,93.77339,3.12,MNP449499,2022-03-16,6.24,False
MN-THO-000099,Hemabati Moyon,residential,single_phase,Domestic LT-II,Thoubal,Lilong,"Lilong, Thoubal, Manipur",24.612706,94.028336,4.96,MNP953085,2019-09-28,9.93,False
MN-CHA-000100,Oinam Anal,residential,single_phase,Domestic LT-II,Chandel,Tengnoupal,"Tengnoupal, Chandel, Manipur",24.343164,94.186867,1.88,MNP639593,2023-12-31,3.77,False
MN-CHA-000101,Thokchom Chiru,residential,single_phase,Domestic LT-II,Chandel,Liwa Sarei,"Liwa Sarei, Chandel, Manipur",24.310336,94.159406,3.93,MNP755788,2021-07-11,7.87,False
MN-BIS-000102,Longpi Pottery,commercial,single_phase,Commercial HT,Bishnupur,Ningthoukhong,"Ningthoukhong, Bishnupur, Manipur",24.613743,93.858914,39.22,MNP559398,2020-02-02,78.43,False
MN-IMP-000103,Khogen Paite,residential,single_phase,Domestic LT-I,Imphal East,Thangmeiband,"Thangmeiband, Imphal East, Manipur",24.816141,93.952607,5.08,MNP679077,2021-09-19,10.16,False
MN-IMP-000104,Gokul Simte,residential,single_phase,BPL Category,Imphal West,Kongba,"Kongba, Imphal West, Manipur",24.768958,93.910728,1.85,MNP406039,2021-02-24,3.71,False
MN-SEN-000105,Naoroibam Thangal,residential,single_phase,Domestic LT-II,Senapati,Liyai,"Liyai, Senapati, Manipur",25.20507,94.14253,5.26,MNP299869,2020-08-23,10.52,False
MN-THO-000106,Bidyarani Angami,residential,three_phase,BPL Category,Thoubal,Kakching,"Kakching, Thoubal, Manipur",24.669597,94.011343,2.28,MNP380150,2023-12-28,4.56,False
MN-CHU-000107,Ongbi Liangmai,residential,single_phase,Domestic LT-II,Churachandpur,Mualkoi,"Mualkoi, Churachandpur, Manipur",24.323466,93.687536,3.97,MNP448588,2020-11-28,7.94,False
MN-SEN-000108,City Pharmacy,commercial,three_phase,Shops & Establishments,Senapati,Liyai,"Liyai, Senapati, Manipur",25.342919,94.082039,16.6,MNP350405,2020-10-18,33.2,False
MN-SEN-000109,Geetarani Poumai,residential,single_phase,BPL Category,Senapati,Senapati Town,"Senapati Town, Senapati, Manipur",25.390973,94.097579,3.99,MNP930884,2020-05-07,7.99,False
MN-CHA-000110,NEEPCO Office,industrial,three_phase,Small Scale Industry,Chandel,Chandel Town,"Chandel Town, Chandel, Manipur",24.422344,94.12588,79.64,MNP718849,2022-02-22,159.27,False
MN-CHA-000111,Manipur Handloom,commercial,three_phase,Commercial LT,Chandel,Tengnoupal,"Tengnoupal, Chandel, Manipur",24.371195,94.227354,7.97,MNP857537,2023-03-13,15.94,False
MN-THO-000112,Oinam Angami,residential,single_phase,Domestic LT-II,Thoubal,Kakching,"Kakching, Thoubal, Manipur",24.611607,93.9569,1.68,MNP781403,2023-07-22,3.37,False
MN-SEN-000113,Reliance Fresh Imphal,commercial,three_phase,Commercial HT,Senapati,Mao,"Mao, Senapati, Manipur",25.371092,94.090732,22.91,MNP667296,2023-10-21,45.82,False
MN-BIS-000114,Manihar Haokip,residential,single_phase,Domestic LT-I,Bishnupur,Ningthoukhong,"Ningthoukhong, Bishnupur, Manipur",24.559783,93.823742,3.63,MNP897305,2020-06-14,7.26,False
MN-IMP-000115,Joykumar Monsang,residential,three_phase,Domestic LT-I,Imphal West,Kongba,"Kongba, Imphal West, Manipur",24.762124,93.91037,3.29,MNP440131,2019-07-17,6.59,False
MN-UKH-000116,Ongbi Chothe,residential,single_phase,BPL Category,Ukhrul,Chingai,"Chingai, Ukhrul, Manipur",25.12317,94.427019,1.7,MNP814919,2019-07-24,3.41,False
MN-THO-000117,Premila Chothe,residential,single_phase,BPL Category,Thoubal,Kakching,"Kakching, Thoubal, Manipur",24.637461,94.043879,3.76,MNP250069,2022-09-14,7.53,False
MN-CHU-000118,Thoibi Thangal,residential,three_phase,BPL Category,Churachandpur,Thanlon,"Thanlon, Churachandpur, Manipur",24.428473,93.748804,2.23,MNP673149,2023-02-13,4.47,False
MN-UKH-000119,Chandrakala Koireng,residential,single_phase,Domestic LT-II,Ukhrul,Jessami,"Jessami, Ukhrul, Manipur",25.014114,94.428484,1.62,MNP308894,2021-11-06,3.24,False
MN-IMP-000120,Manipur University,commercial,three_phase,Shops & Establishments,Imphal West,Uripok,"Uripok, Imphal West, Manipur",24.791004,93.945816,26.2,MNP410244,2020-01-31,52.41,False
MN-SEN-000121,Ahongshangbam Meitei,residential,three_phase,BPL Category,Senapati,Purul,"Purul, Senapati, Manipur",25.277634,94.078658,3.56,MNP620856,2022-05-26,7.12,False
MN-BIS-000122,Medplus Manipur,commercial,single_phase,Commercial LT,Bishnupur,Karang,"Karang, Bishnupur, Manipur",24.604562,93.89122,20.05,MNP751051,2022-08-07,40.1,False
MN-THO-000123,Pukhrambam Liangmai,residential,single_phase,Domestic LT-II,Thoubal,Kakching,"Kakching, Thoubal, Manipur",24.696119,94.085803,2.38,MNP867934,2023-04-08,4.76,False
MN-CHU-000124,Thangjam Hmar,residential,single_phase,BPL Category,Churachandpur,Singngat,"Singngat, Churachandpur, Manipur",24.310404,93.665117,1.58,MNP483629,2021-01-10,3.16,False
MN-CHU-000125,Geetarani Moyon,residential,single_phase,Domestic LT-II,Churachandpur,Rengkai,"Rengkai, Churachandpur, Manipur",24.314166,93.752451,1.82,MNP943298,2023-05-12,3.64,False
MN-IMP-000126,Ibotombi Rongmei,residential,three_phase,BPL Category,Imphal West,Keishampat,"Keishampat, Imphal West, Manipur",24.772328,93.939141,1.6,MNP483542,2023-07-02,3.21,False
MN-IMP-000127,Moirang Pheijom,commercial,single_phase,Commercial HT,Imphal East,Sagolband,"Sagolband, Imphal East, Manipur",24.837013,93.94973,11.34,MNP805511,2019-10-22,22.68,False
MN-SEN-000128,Ibotombi Aimol,residential,single_phase,BPL Category,Senapati,Mao,"Mao, Senapati, Manipur",25.339347,94.075789,5.45,MNP688678,2022-03-02,10.9,False
MN-BIS-000129,Reliance Fresh Imphal,commercial,three_phase,Shops & Establishments,Bishnupur,Nambol,"Nambol, Bishnupur, Manipur",24.623507,93.870522,16.67,MNP416869,2020-05-13,33.33,False
MN-THO-000130,Pukhrambam Inpui,residential,single_phase,Domestic LT-I,Thoubal,Thoubal Bazar,"Thoubal Bazar, Thoubal, Manipur",24.617744,94.062592,5.13,MNP663658,2023-03-31,10.26,False
MN-UKH-000131,Naoba Simte,residential,three_phase,BPL Category,Ukhrul,Pushing,"Pushing, Ukhrul, Manipur",25.198101,94.382524,3.17,MNP203831,2021-04-05,6.35,False
MN-CHU-000132,Lanchenbi Liangmai,residential,single_phase,Domestic LT-I,Churachandpur,Churachandpur Town,"Churachandpur Town, Churachandpur, Manipur",24.416462,93.701121,5.69,MNP997004,2021-12-21,11.38,False
MN-UKH-000133,Memcha Rongmei,residential,single_phase,Domestic LT-I,Ukhrul,Pushing,"Pushing, Ukhrul, Manipur",25.171683,94.385799,4.88,MNP989227,2021-06-15,9.76,False
MN-BIS-000134,Biren Angami,residential,single_phase,Domestic LT-I,Bishnupur,Karang,"Karang, Bishnupur, Manipur",24.625454,93.765469,5.56,MNP925206,2020-11-02,11.12,False
MN-BIS-000135,Khumanthem Angami,residential,single_phase,BPL Category,Bishnupur,Karang,"Karang, Bishnupur, Manipur",24.600525,93.873969,2.94,MNP102973,2022-06-14,5.88,False
MN-THO-000136,Moirang Pheijom,commercial,single_phase,Commercial LT,Thoubal,Wangjing,"Wangjing, Thoubal, Manipur",24.689552,94.00838,7.85,MNP215266,2020-04-19,15.7,False
MN-THO-000137,Medplus Manipur,commercial,three_phase,Commercial LT,Thoubal,Thoubal Bazar,"Thoubal Bazar, Thoubal, Manipur",24.690538,93.963693,17.88,MNP717457,2022-03-10,35.76,False
MN-CHU-000138,Manihar Tangkhul,residential,single_phase,BPL Category,Churachandpur,Churachandpur Town,"Churachandpur Town, Churachandpur, Manipur",24.442509,93.792591,4.08,MNP166645,2021-05-02,8.16,False
